Nombre,Lat,Lon
experis-spain.es,40.4165,-3.70256
epi.es,40.4165,-3.70256
wurth.es,41.3888,2.15899
cartonajespetit.es,41.3888,2.15899
oxylane.com,48.8534,2.3488
icloud.com,37.3166,-122.046
itnow.es,41.3888,2.15899
externos.itnow.es,41.3888,2.15899
me.com,35.2271,-80.8431
163.com,23.1167,113.25
hp.com,37.4099,-122.16
everis.com,40.4165,-3.70256
ull.es,28,4853,-16,3201
gmai.com,39.0437,-77.4875
accenture.com,34.7888,-92.4127
yahoo.ca,37.4249,-122.0074
gestoriacasals.com,41.8876,-87.6368
borsadelloguers.com,41.8876,-87.6368
iberianmeat.com,33.9269,-117.8612
entesis.net,35.9726,-81.5513
nardiprat.com,37.4192,-122.0574
elpower.com,40.6452,-75.4374
ts.fujitsu.com,48.3667,10.8833
sungard.com,39.9523,-75.1638
fcc.es,40.4086,-3.6922
ifd-bcn.org,41.85,-87.65
ferrovial.com,40,-4
latinmail.com,29.7523,-95.367
portaventura.es,53.3331,-6.2489
mediapro.es,41.4008,2.1933
sice.com,40.2842,-3.7941
wellsfargo.com,38.6304,-90.2165
ikea.com,38.9599,-77.3428
akzonobel.com,51.5142,-0.0931
puig.es,38.9358,-77.1621
atresmedia.com,40.4086,-3.6922
medgaz.com,40,-4
ogilvy.com,40.7605,-73.9933
tinsa.es,40.4238,-3.5613
fundacionnumen.org,40.4086,-3.6922
virtualimg.com,49.2591,-123.0226
abv.bg,42.6833,23.3167
endesa.es,35.994,-78.8986
tsolar.eu,42.2328,-8.7226
iberia.es,40.4086,-3.6922
googlemail.com,37.4192,-122.0574
hotmail.it,47.6801,-122.1206
liderpapel.com,40.4401,-3.6988
schneider-electric.com,41.5031,-71.5904
elcorteingles.es,40.4086,-3.6922
sca.com,57.7167,11.9667
gasnaturalfenosa.com,40.4661,-3.6718
movistar.es,40.4086,-3.6922
logitech.com,39.0437,-77.4875
enagas.es,40.4165,-3.70256
gdfsuez.com,48.86,2.35
jvnewco.net,40,-4
gestamp.com,40,-4
metrofang.com,51,9
vetcan.org,51.5,-0.13
supersol.es,48.86,2.35
ibericarcentro.es,39.5,-8
camaragc.es,28.0997,-15.4134
dragados.com,40.4238,-3.5613
puertodelacruz.es,40,-4
utevea.es,38,-97
udc.es,43.3666,-8.4068
delioncom.com,40,-4
saba.eu,40,-4
eulen.com,40.4086,-3.6922
agromillora.com,51,9
pepejeans.com,55.8167,12.4667
zaragoza.es,41.6561,-0.8773
syrcar.es,40,-4
logista.es,40,-4
sandoz.com,38,-97
empark.es,38.7167,-9.1333
recambiosanchez.com,40,-4
basf.com,51,9
coit.es,40,-4
